Title,Body,Status,Priority,Epic,Workspace,Size,Sprint,Start Date,Target Date,Labels
Setup Next.js 14 frontend skeleton,"Create base Next.js App Router structure under autowash-frontend with workspace separation for customer, operations, and admin.",Backlog,P0,Epic 0 - Foundation,Customer,M,Sprint 1,2026-05-24,2026-05-26,frontend;setup
Setup Spring Boot backend skeleton,"Create modular monolith backend structure under autowash-backend with com.autowash package modules and base application bootstrapping.",Backlog,P0,Epic 0 - Foundation,Backend,M,Sprint 1,2026-05-24,2026-05-26,backend;setup
Configure shared frontend constants and validators,"Add constants.ts, validators.ts, and basic utility formatting functions aligned with PROJECT.md.",Backlog,P1,Epic 0 - Foundation,Shared,S,Sprint 1,2026-05-25,2026-05-27,frontend;shared
Design API response contracts and TypeScript types,"Define frontend API wrappers and core DTO types for auth, user, booking, loyalty, and vehicles.",Backlog,P1,Epic 0 - Foundation,Shared,M,Sprint 1,2026-05-25,2026-05-28,api;contracts
Implement auth store and route protection,"Create Zustand auth store, AuthGuard, and middleware role routing for customer, staff, and admin.",Backlog,P0,Epic 1 - Auth,Shared,M,Sprint 1,2026-05-26,2026-05-29,auth;frontend
Build login page flow,"Implement login form, validation, token handling contract, and role redirect behavior.",Backlog,P0,Epic 1 - Auth,Customer,M,Sprint 1,2026-05-26,2026-05-29,auth;frontend
Build registration and OTP flow,"Implement register, verify OTP, resend, and forgot-password pages based on auth epic mapping.",Backlog,P1,Epic 1 - Auth,Customer,M,Sprint 1,2026-05-27,2026-05-31,auth;frontend
Create backend auth module endpoints,"Implement register, login, refresh, logout, OTP, and forgot-password APIs with JWT and RBAC.",Backlog,P0,Epic 1 - Auth,Backend,L,Sprint 1,2026-05-26,2026-06-02,auth;backend
Build customer profile and settings pages,"Implement profile page, settings page, and preference persistence with server-state hooks.",Backlog,P1,Epic 2 - User,Customer,M,Sprint 2,2026-05-30,2026-06-03,user;frontend
Implement backend user profile and preferences APIs,"Create user module endpoints for profile fetch, update, and preferences management.",Backlog,P1,Epic 2 - User,Backend,M,Sprint 2,2026-05-30,2026-06-03,user;backend
Build customer vehicles list and add vehicle flow,"Implement vehicle listing, primary badge, and add vehicle page with client validation.",Backlog,P0,Epic 3 - Vehicle,Customer,M,Sprint 2,2026-05-31,2026-06-04,vehicle;frontend
Build vehicle detail and edit page,"Implement vehicle detail page, immutable plate behavior, and delete handling UI.",Backlog,P1,Epic 3 - Vehicle,Customer,M,Sprint 2,2026-06-01,2026-06-05,vehicle;frontend
Implement backend vehicle CRUD APIs,"Create vehicle module endpoints for create, list, detail, update, delete, and set-primary.",Backlog,P0,Epic 3 - Vehicle,Backend,L,Sprint 2,2026-05-31,2026-06-06,vehicle;backend
Scaffold booking checkout store and stepper,"Create booking.store.ts and checkout stepper shell for the 7-step booking flow.",Backlog,P0,Epic 4 - Booking,Customer,M,Sprint 3,2026-06-04,2026-06-07,booking;frontend
Build booking step 1 to step 4 UI,"Implement vehicle selection, package/combo selection, add-ons, and date/time steps.",Backlog,P0,Epic 4 - Booking,Customer,L,Sprint 3,2026-06-05,2026-06-10,booking;frontend
Build booking step 5 to step 7 UI,"Implement voucher validation input, payment selection, confirmation summary, and success state.",Backlog,P0,Epic 4 - Booking,Customer,L,Sprint 3,2026-06-06,2026-06-11,booking;frontend
Implement backend booking APIs,"Create booking module endpoints for create booking, list, detail, cancel, voucher validate, and payment action.",Backlog,P0,Epic 4 - Booking,Backend,L,Sprint 3,2026-06-04,2026-06-12,booking;backend
Build customer bookings history and detail pages,"Implement bookings list with filters and booking detail page with current status mapping.",Backlog,P1,Epic 4 - Booking,Customer,M,Sprint 3,2026-06-08,2026-06-12,booking;frontend
Build operations queue Kanban page,"Implement staff queue page with 4 columns, polling, priority badges, and session links.",Backlog,P0,Epic 5 - Operations,Operations,L,Sprint 4,2026-06-10,2026-06-15,operations;frontend
Build check-in and wash session pages,"Implement check-in verification, start wash, complete wash, and timer UI.",Backlog,P0,Epic 5 - Operations,Operations,L,Sprint 4,2026-06-11,2026-06-16,operations;frontend
Implement backend wash session and queue APIs,"Create operation module endpoints for queue, create session, check-in, start, complete, and dashboard metrics.",Backlog,P0,Epic 5 - Operations,Backend,L,Sprint 4,2026-06-10,2026-06-17,operations;backend
Build admin dashboard shell and navigation,"Implement admin layout, sidebar, dashboard shell, and placeholder metrics cards.",Backlog,P1,Epic 9 - Admin,Admin,M,Sprint 4,2026-06-10,2026-06-14,admin;frontend
Build admin bookings and customers pages,"Implement admin bookings list, booking detail shell, customer list, and customer detail tabs.",Backlog,P0,Epic 9 - Admin,Admin,L,Sprint 5,2026-06-15,2026-06-21,admin;frontend
Implement backend admin reporting and customer management APIs,"Create dashboard metrics, bookings, customers, status updates, and report endpoints.",Backlog,P0,Epic 9 - Admin,Backend,L,Sprint 5,2026-06-15,2026-06-22,admin;backend
Build loyalty account, redeem, and history pages,"Implement loyalty balance page, redeem voucher flow, and transaction history UI.",Backlog,P1,Epic 7 - Loyalty,Customer,M,Sprint 5,2026-06-16,2026-06-20,loyalty;frontend
